time,bpm,source,device
2019-10-10T13:00:00Z,83.0,health_connect,unknown
2019-10-11T13:00:00Z,79.0,health_connect,unknown
2019-10-12T13:00:00Z,79.0,health_connect,unknown
2019-10-13T13:00:00Z,82.0,health_connect,unknown
2019-10-14T13:00:00Z,83.0,health_connect,unknown
2019-10-15T13:00:00Z,83.0,health_connect,unknown
2019-10-16T13:00:00Z,85.0,health_connect,unknown
2019-10-17T13:00:00Z,83.0,health_connect,unknown
2019-10-18T13:00:00Z,83.0,health_connect,unknown
2019-10-19T13:00:00Z,83.0,health_connect,unknown
2019-10-20T13:00:00Z,82.0,health_connect,unknown
2019-10-21T13:00:00Z,83.0,health_connect,unknown
2019-10-22T13:00:00Z,83.0,health_connect,unknown
2019-10-23T13:00:00Z,84.0,health_connect,unknown
2019-10-24T13:00:00Z,84.0,health_connect,unknown
2019-10-25T13:00:00Z,84.0,health_connect,unknown
2019-10-26T13:00:00Z,83.0,health_connect,unknown
2019-10-27T13:00:00Z,83.0,health_connect,unknown
2019-10-28T13:00:00Z,81.0,health_connect,unknown
2019-10-29T13:00:00Z,81.0,health_connect,unknown
2019-10-30T13:00:00Z,82.0,health_connect,unknown
2019-10-31T13:00:00Z,84.0,health_connect,unknown
2019-11-01T13:00:00Z,84.0,health_connect,unknown
2019-11-02T13:00:00Z,83.0,health_connect,unknown
2019-11-03T13:00:00Z,83.0,health_connect,unknown
2019-11-06T13:00:00Z,84.0,health_connect,unknown
2019-11-07T13:00:00Z,80.0,health_connect,unknown
2019-11-08T13:00:00Z,79.0,health_connect,unknown
2019-11-09T13:00:00Z,79.0,health_connect,unknown
2019-11-10T13:00:00Z,79.0,health_connect,unknown
2019-11-11T13:00:00Z,80.0,health_connect,unknown
2019-11-12T13:00:00Z,79.0,health_connect,unknown
2019-11-16T13:00:00Z,78.0,health_connect,unknown
2019-11-17T13:00:00Z,78.0,health_connect,unknown
2019-11-18T13:00:00Z,79.0,health_connect,unknown
2019-11-19T13:00:00Z,80.0,health_connect,unknown
2019-11-20T13:00:00Z,81.0,health_connect,unknown
2019-11-21T13:00:00Z,81.0,health_connect,unknown
2019-12-04T13:00:00Z,80.0,health_connect,unknown
2019-12-06T13:00:00Z,80.0,health_connect,unknown
2019-12-07T13:00:00Z,84.0,health_connect,unknown
2019-12-08T13:00:00Z,80.0,health_connect,unknown
2019-12-09T13:00:00Z,81.0,health_connect,unknown
2019-12-10T13:00:00Z,80.0,health_connect,unknown
2019-12-11T13:00:00Z,80.0,health_connect,unknown
2019-12-14T13:00:00Z,81.0,health_connect,unknown
2019-12-15T13:00:00Z,80.0,health_connect,unknown
2019-12-16T13:00:00Z,79.0,health_connect,unknown
2019-12-17T13:00:00Z,79.0,health_connect,unknown
2019-12-18T13:00:00Z,79.0,health_connect,unknown
2019-12-19T13:00:00Z,79.0,health_connect,unknown
2019-12-20T13:00:00Z,79.0,health_connect,unknown
2020-02-11T13:00:00Z,79.0,health_connect,unknown
2020-02-12T13:00:00Z,77.0,health_connect,unknown
2020-02-13T13:00:00Z,78.0,health_connect,unknown
2020-02-14T13:00:00Z,78.0,health_connect,unknown
2020-02-15T13:00:00Z,78.0,health_connect,unknown
2020-02-16T13:00:00Z,80.0,health_connect,unknown
2020-02-17T13:00:00Z,80.0,health_connect,unknown
2020-02-18T13:00:00Z,80.0,health_connect,unknown
2020-02-19T13:00:00Z,77.0,health_connect,unknown
2020-02-20T13:00:00Z,80.0,health_connect,unknown
2020-02-21T13:00:00Z,80.0,health_connect,unknown
2020-02-22T13:00:00Z,78.0,health_connect,unknown
2020-02-23T13:00:00Z,78.0,health_connect,unknown
2020-02-24T13:00:00Z,77.0,health_connect,unknown
2020-02-25T13:00:00Z,77.0,health_connect,unknown
2020-02-26T13:00:00Z,77.0,health_connect,unknown
2020-02-27T13:00:00Z,78.0,health_connect,unknown
2020-02-28T13:00:00Z,78.0,health_connect,unknown
2020-02-29T13:00:00Z,77.0,health_connect,unknown
2020-03-01T13:00:00Z,76.0,health_connect,unknown
2020-03-02T13:00:00Z,78.0,health_connect,unknown
2020-03-04T13:00:00Z,78.0,health_connect,unknown
2020-03-05T13:00:00Z,77.0,health_connect,unknown
2020-03-06T13:00:00Z,77.0,health_connect,unknown
2020-03-07T13:00:00Z,77.0,health_connect,unknown
2020-03-08T13:00:00Z,76.0,health_connect,unknown
2020-03-09T13:00:00Z,75.0,health_connect,unknown
2020-03-10T13:00:00Z,76.0,health_connect,unknown
2020-03-11T13:00:00Z,77.0,health_connect,unknown
2020-03-12T13:00:00Z,77.0,health_connect,unknown
2020-04-08T14:00:00Z,80.0,health_connect,unknown
2020-04-09T14:00:00Z,82.0,health_connect,unknown
2020-04-10T14:00:00Z,82.0,health_connect,unknown
2020-04-11T14:00:00Z,83.0,health_connect,unknown
2020-04-12T14:00:00Z,85.0,health_connect,unknown
2020-04-13T14:00:00Z,84.0,health_connect,unknown
2020-04-18T14:00:00Z,84.0,health_connect,unknown
2020-04-19T14:00:00Z,83.0,health_connect,unknown
2020-04-20T14:00:00Z,80.0,health_connect,unknown
2020-04-21T14:00:00Z,79.0,health_connect,unknown
2020-04-22T14:00:00Z,78.0,health_connect,unknown
2020-04-23T14:00:00Z,75.0,health_connect,unknown
2020-04-24T14:00:00Z,75.0,health_connect,unknown
2020-04-25T14:00:00Z,73.0,health_connect,unknown
2020-04-26T14:00:00Z,74.0,health_connect,unknown
2020-04-27T14:00:00Z,74.0,health_connect,unknown
2020-04-28T14:00:00Z,76.0,health_connect,unknown
2020-04-29T14:00:00Z,76.0,health_connect,unknown
2020-04-30T14:00:00Z,75.0,health_connect,unknown
2020-05-01T14:00:00Z,76.0,health_connect,unknown
2020-05-26T14:00:00Z,77.0,health_connect,unknown
2020-05-27T14:00:00Z,81.0,health_connect,unknown
2020-05-28T14:00:00Z,79.0,health_connect,unknown
2020-05-29T14:00:00Z,78.0,health_connect,unknown
2020-05-30T14:00:00Z,79.0,health_connect,unknown
2020-05-31T14:00:00Z,81.0,health_connect,unknown
2020-06-03T14:00:00Z,81.0,health_connect,unknown
2020-06-04T14:00:00Z,81.0,health_connect,unknown
2020-06-05T14:00:00Z,80.0,health_connect,unknown
2020-06-06T14:00:00Z,82.0,health_connect,unknown
2020-06-07T14:00:00Z,82.0,health_connect,unknown
2020-06-22T14:00:00Z,81.0,health_connect,unknown
2020-06-23T14:00:00Z,81.0,health_connect,unknown
2020-06-24T14:00:00Z,79.0,health_connect,unknown
2020-06-25T14:00:00Z,79.0,health_connect,unknown
2020-06-26T14:00:00Z,80.0,health_connect,unknown
2020-06-27T14:00:00Z,79.0,health_connect,unknown
2020-06-28T14:00:00Z,79.0,health_connect,unknown
2020-07-15T14:00:00Z,81.0,health_connect,unknown
2020-07-16T14:00:00Z,81.0,health_connect,unknown
2020-07-17T14:00:00Z,82.0,health_connect,unknown
2020-07-18T14:00:00Z,82.0,health_connect,unknown
2020-07-19T14:00:00Z,82.0,health_connect,unknown
2021-02-14T13:00:00Z,83.0,health_connect,unknown
2021-02-15T13:00:00Z,84.0,health_connect,unknown
2021-02-16T13:00:00Z,81.0,health_connect,unknown
2021-02-17T13:00:00Z,79.0,health_connect,unknown
2021-02-18T13:00:00Z,79.0,health_connect,unknown
2021-02-19T13:00:00Z,79.0,health_connect,unknown
2021-02-20T13:00:00Z,78.0,health_connect,unknown
2021-02-21T13:00:00Z,78.0,health_connect,unknown
2021-02-22T13:00:00Z,78.0,health_connect,unknown
2021-02-23T13:00:00Z,78.0,health_connect,unknown
2021-02-24T13:00:00Z,79.0,health_connect,unknown
2021-02-25T13:00:00Z,80.0,health_connect,unknown
2021-02-26T13:00:00Z,80.0,health_connect,unknown
2021-02-27T13:00:00Z,79.0,health_connect,unknown
2021-02-28T13:00:00Z,80.0,health_connect,unknown
2021-03-01T13:00:00Z,80.0,health_connect,unknown
2021-03-02T13:00:00Z,79.0,health_connect,unknown
2021-03-03T13:00:00Z,81.0,health_connect,unknown
2021-03-04T13:00:00Z,82.0,health_connect,unknown
2021-03-05T13:00:00Z,83.0,health_connect,unknown
2021-03-06T13:00:00Z,80.0,health_connect,unknown
2021-03-07T13:00:00Z,81.0,health_connect,unknown
2021-03-08T13:00:00Z,81.0,health_connect,unknown
2021-03-09T13:00:00Z,82.0,health_connect,unknown
2021-03-10T13:00:00Z,85.0,health_connect,unknown
2021-03-11T13:00:00Z,84.0,health_connect,unknown
2021-03-12T13:00:00Z,82.0,health_connect,unknown
2021-03-13T13:00:00Z,84.0,health_connect,unknown
2021-03-14T13:00:00Z,81.0,health_connect,unknown
2021-03-15T13:00:00Z,81.0,health_connect,unknown
2021-03-16T13:00:00Z,79.0,health_connect,unknown
2021-03-17T13:00:00Z,77.0,health_connect,unknown
2021-03-18T13:00:00Z,75.0,health_connect,unknown
2021-03-19T13:00:00Z,76.0,health_connect,unknown
2021-03-20T13:00:00Z,76.0,health_connect,unknown
2021-03-21T13:00:00Z,77.0,health_connect,unknown
2021-03-22T13:00:00Z,76.0,health_connect,unknown
2021-03-23T13:00:00Z,76.0,health_connect,unknown
2021-03-24T13:00:00Z,77.0,health_connect,unknown
2021-04-01T13:00:00Z,75.0,health_connect,unknown
2021-04-02T13:00:00Z,76.0,health_connect,unknown
2021-04-03T13:00:00Z,77.0,health_connect,unknown
2023-08-12T14:00:00Z,70.0,health_connect,unknown
2023-08-13T14:00:00Z,71.0,health_connect,unknown
2023-08-14T14:00:00Z,73.0,health_connect,unknown
2023-08-15T14:00:00Z,70.0,health_connect,unknown
2023-08-16T14:00:00Z,70.0,health_connect,unknown
2023-08-17T14:00:00Z,69.0,health_connect,unknown
2023-08-18T14:00:00Z,70.0,health_connect,unknown
2023-08-19T14:00:00Z,71.0,health_connect,unknown
2023-08-20T14:00:00Z,69.0,health_connect,unknown
2023-08-21T14:00:00Z,70.0,health_connect,unknown
2023-08-22T14:00:00Z,73.0,health_connect,unknown
2023-08-23T14:00:00Z,73.0,health_connect,unknown
2023-08-24T14:00:00Z,74.0,health_connect,unknown
2023-08-25T14:00:00Z,75.0,health_connect,unknown
2023-08-26T14:00:00Z,74.0,health_connect,unknown
2023-08-27T14:00:00Z,72.0,health_connect,unknown
2023-08-28T14:00:00Z,72.0,health_connect,unknown
2023-08-29T14:00:00Z,72.0,health_connect,unknown
2023-08-30T14:00:00Z,72.0,health_connect,unknown
2023-08-31T14:00:00Z,74.0,health_connect,unknown
2023-09-01T14:00:00Z,76.0,health_connect,unknown
2023-09-02T14:00:00Z,75.0,health_connect,unknown
2023-09-03T14:00:00Z,72.0,health_connect,unknown
2023-09-04T14:00:00Z,72.0,health_connect,unknown
2023-09-05T14:00:00Z,72.0,health_connect,unknown
2023-10-17T13:00:00Z,76.0,health_connect,unknown
2023-10-18T13:00:00Z,76.0,health_connect,unknown
2023-10-19T13:00:00Z,76.0,health_connect,unknown
2023-10-20T13:00:00Z,76.0,health_connect,unknown
2023-10-21T13:00:00Z,76.0,health_connect,unknown
2023-10-22T13:00:00Z,79.0,health_connect,unknown
2023-10-23T13:00:00Z,78.0,health_connect,unknown
