time,bpm
1765026000000,79.0
1765112400000,78.0
1765198800000,79.0
1765285200000,82.0
1765371600000,74.0
1765458000000,76.0
1765544400000,76.0
1765630800000,76.0
1765717200000,84.0
1765803600000,84.0
1765890000000,78.0
1765976400000,84.0
1766062800000,80.0
1766149200000,86.0
1766235600000,75.0
1766322000000,68.0
1766408400000,75.0
1766494800000,75.0
1766581200000,77.0
1766667600000,73.0
1766754000000,82.0
1766840400000,83.0
1766926800000,71.0
1767013200000,77.0
1767099600000,78.0
1767186000000,76.0
1767272400000,76.0
1767358800000,83.0
1767877200000,88.0
1767963600000,84.0
1768050000000,80.0
1768136400000,78.0
1768222800000,76.0
1768309200000,75.0
1768395600000,76.0
1768482000000,75.0
1768827600000,76.0
1768914000000,73.0
1769000400000,73.0
1769086800000,71.0
1769173200000,74.0
1769259600000,74.0
1769346000000,74.0
1769432400000,73.0
1769518800000,74.0
1769605200000,76.0
1769691600000,77.0
1769778000000,75.0
1769864400000,75.0
1769950800000,75.0
1770037200000,77.0
1770123600000,77.0
1770210000000,80.0
1770296400000,79.0
1770382800000,78.0
1770469200000,79.0
1770555600000,77.0
1770642000000,80.0
1770728400000,80.0
1770814800000,81.0
1770901200000,82.0
1770987600000,81.0
1771074000000,79.0
1771160400000,79.0
1771246800000,80.0
1771333200000,79.0
1771419600000,80.0
1771506000000,80.0
1771592400000,78.0
1771678800000,80.0
1771765200000,80.0
1771851600000,80.0
1771938000000,80.0
1772024400000,80.0
1772110800000,78.0
1772197200000,76.0
1772283600000,76.0
1772370000000,74.0
1772456400000,72.0
1772542800000,73.0
1772629200000,76.0
1772715600000,78.0
1772802000000,76.0
1772888400000,75.0
1772974800000,76.0
