time,spo2_pct,pulse_bpm
2021-08-06T22:52:00Z,98.0,74.0
2021-08-06T23:32:00Z,96.0,70.0
2021-08-07T00:07:00Z,94.0,64.0
2021-08-07T00:39:00Z,94.0,70.0
2021-08-07T01:20:00Z,97.0,76.0
2021-08-07T05:08:00Z,91.0,87.0
2021-08-07T13:01:00Z,100.0,89.5
2021-08-07T14:37:00Z,100.0,84.0
2021-08-07T15:07:00Z,93.5,79.0
2021-08-07T16:37:00Z,100.0,76.0
2021-08-07T17:41:00Z,95.0,73.0
2021-08-07T18:12:00Z,95.0,71.0
2021-08-07T19:55:00Z,94.0,62.0
2021-08-07T20:25:00Z,95.0,74.0
2021-08-07T21:52:00Z,95.0,68.0
2021-08-07T22:51:00Z,98.0,70.0
2021-08-07T23:49:00Z,98.0,66.0
2021-08-08T00:56:00Z,97.0,73.0
2021-08-08T02:00:00Z,94.0,78.0
2021-08-08T07:42:00Z,100.0,78.0
2021-08-08T08:21:00Z,98.0,78.0
2021-08-08T10:38:00Z,97.0,87.0
2021-08-08T13:55:00Z,99.0,88.0
2021-08-08T14:52:00Z,98.0,90.0
2021-08-08T15:22:00Z,93.5,81.5
2021-08-08T17:06:00Z,94.0,71.0
2021-08-08T18:33:00Z,97.0,76.0
2021-08-08T19:03:00Z,95.0,75.0
2021-08-08T20:23:00Z,98.0,66.0
2021-08-08T20:53:00Z,98.0,70.0
2021-08-08T21:23:00Z,95.0,72.0
2021-08-08T22:22:00Z,100.0,66.0
2021-08-08T23:41:00Z,97.0,71.0
2021-08-09T00:11:00Z,97.0,69.0
2021-08-09T03:49:00Z,96.0,82.0
2021-08-09T04:18:00Z,100.0,83.0
2021-08-25T08:46:00Z,96.0,88.0
2021-08-25T14:01:00Z,99.0,85.0
2021-08-25T15:46:00Z,94.0,86.0
2021-08-25T16:17:00Z,96.0,89.0
2021-08-25T17:41:00Z,95.0,83.0
2021-08-25T18:11:00Z,91.0,82.0
2021-08-25T19:42:00Z,96.0,74.0
2021-08-25T20:12:00Z,94.5,74.5
2021-08-25T21:13:00Z,96.5,74.5
2021-08-25T23:22:00Z,95.5,68.5
2021-08-26T00:54:00Z,97.0,66.0
2021-08-26T01:24:00Z,98.0,76.0
2021-08-26T02:15:00Z,97.0,73.0
2021-08-26T03:30:00Z,95.0,70.0
2021-08-26T05:39:00Z,97.0,71.0
2021-08-26T08:09:00Z,100.0,88.0
2021-08-26T11:25:00Z,98.0,86.0
2021-08-26T13:05:00Z,96.0,83.0
2021-08-26T14:12:00Z,97.5,81.0
2021-08-26T15:29:00Z,94.0,78.0
2021-08-26T16:25:00Z,97.0,69.0
2021-08-26T17:25:00Z,99.0,69.0
2021-08-26T18:06:00Z,98.0,69.0
2021-08-26T18:36:00Z,97.0,68.0
2021-08-30T00:29:00Z,98.0,72.0
2021-08-30T01:00:00Z,97.5,73.0
2021-08-30T02:58:00Z,97.0,67.0
2021-08-30T04:11:00Z,94.0,58.0
2021-08-30T04:41:00Z,97.0,78.0
2021-08-30T08:46:00Z,94.0,100.0
2021-08-30T10:26:00Z,96.0,91.0
2021-08-30T13:53:00Z,97.0,94.0
2021-08-30T14:51:00Z,95.0,94.0
2021-08-30T16:31:00Z,96.0,74.0
2021-08-30T17:01:00Z,98.0,78.0
2021-08-30T18:14:00Z,96.5,74.5
2021-08-30T19:27:00Z,96.0,73.0
2021-08-30T20:49:00Z,95.0,69.0
2021-08-30T21:19:00Z,96.0,72.0
2021-08-30T23:19:00Z,96.0,71.0
2021-08-31T01:27:00Z,100.0,90.0
2021-08-31T02:28:00Z,98.0,84.0
2021-08-31T05:09:00Z,98.0,87.0
2021-08-31T09:39:00Z,97.0,85.0
2021-08-31T10:14:00Z,98.0,88.0
2021-09-01T17:37:00Z,95.0,78.0
2021-09-01T18:07:00Z,96.0,78.0
2021-09-01T19:08:00Z,98.0,73.0
2021-09-01T20:35:00Z,96.0,73.0
2021-09-01T21:29:00Z,94.5,79.0
2021-09-01T22:52:00Z,95.0,65.0
2021-09-01T23:22:00Z,89.5,74.5
2021-09-02T00:24:00Z,99.0,63.0
2021-09-02T02:01:00Z,98.0,63.0
2021-09-02T03:00:00Z,97.0,79.0
2021-09-02T07:35:00Z,100.0,89.0
2021-09-02T08:39:00Z,100.0,86.0
2021-09-02T14:12:00Z,97.0,80.0
2021-09-02T14:42:00Z,94.0,80.0
2021-09-02T15:37:00Z,96.0,69.0
2021-09-02T16:07:00Z,96.0,70.5
2021-09-02T17:07:00Z,97.0,72.0
2021-09-02T17:37:00Z,96.0,67.0
2021-09-02T20:42:00Z,95.0,71.0
2021-09-02T21:52:00Z,100.0,66.0
2021-09-02T23:27:00Z,90.0,70.0
2021-09-03T00:41:00Z,91.0,69.0
2021-09-03T02:12:00Z,96.0,77.0
2025-06-01T15:15:00Z,95.0,
2025-06-01T20:26:00Z,93.0,
2025-06-02T19:32:00Z,92.0,
2025-06-02T21:24:00Z,94.0,
2025-06-03T16:30:00Z,93.0,
2025-06-03T18:53:00Z,96.0,
2025-06-04T14:53:00Z,96.0,
2025-06-04T19:41:00Z,95.0,
2025-06-05T15:46:00Z,94.0,
2025-06-05T18:44:00Z,91.0,
2025-06-06T00:45:00Z,95.0,
2025-06-07T17:56:00Z,96.0,
2025-06-07T21:14:00Z,94.0,
2025-06-07T23:35:00Z,94.0,
2025-06-08T16:26:00Z,96.0,
2025-06-08T19:20:00Z,96.0,
2025-06-09T16:08:00Z,94.0,
2025-06-09T20:31:00Z,93.0,
2025-06-11T06:17:00Z,95.0,
2025-06-11T16:36:00Z,94.0,
2025-06-12T15:51:00Z,95.0,
2025-06-12T17:57:00Z,95.0,
2025-06-12T19:53:00Z,94.0,
2025-06-13T15:46:00Z,95.0,
2025-06-13T19:00:00Z,92.0,
2025-06-13T22:03:00Z,92.0,
2025-06-13T23:39:00Z,93.0,
2025-06-14T15:10:00Z,93.0,
2025-06-16T17:12:00Z,95.0,
2025-06-17T14:10:00Z,95.0,
2025-06-17T17:27:00Z,90.0,
2025-06-17T20:19:00Z,95.0,
2025-06-17T23:09:00Z,95.0,
2025-06-18T15:30:00Z,93.0,
2025-06-18T19:58:00Z,96.0,
2025-06-18T22:13:00Z,95.0,
2025-06-19T10:17:00Z,72.0,
2025-06-19T15:13:00Z,96.0,
2025-06-20T15:06:00Z,94.0,
2025-06-21T13:08:00Z,94.0,
2025-06-21T16:57:00Z,94.0,
2025-06-21T19:24:00Z,94.0,
2025-06-22T14:31:00Z,94.0,
2025-06-22T20:56:00Z,93.0,
2025-06-22T22:21:00Z,96.0,
2025-06-23T16:30:00Z,96.0,
2025-06-23T20:12:00Z,95.0,
2025-06-25T15:22:00Z,95.0,
2025-06-25T18:25:00Z,96.0,
2025-06-25T20:51:00Z,94.0,
2025-06-26T14:49:00Z,94.0,
2025-06-26T19:53:00Z,96.0,
2025-06-27T14:09:00Z,94.0,
2025-06-27T18:20:00Z,95.0,
2025-06-28T14:20:00Z,94.0,
2025-06-28T18:41:00Z,96.0,
2025-06-29T14:12:00Z,94.0,
2025-06-29T18:52:00Z,94.0,
2025-06-30T14:38:00Z,95.0,
2025-06-30T18:13:00Z,95.0,
